"Année / Édition","Vainqueur","Équipe du vainqueur","Étapes","Distance (en km)","Vitesse moyenne","Grand Prix de la montagne","Par points","Meilleur jeune"
"1981 (68e)","Bernard Hinault","Renault-Gitane","24","3 753","38,960","Lucien Van Impe","Freddy Maertens","Peter Winnen"
"1982 (69e)","Bernard Hinault","Renault-Gitane","21","3 507","38,059","Bernard Vallet","Seán Kelly","Phil Anderson"
"1983 (70e)","Laurent Fignon","Renault-Gitane","22","3 809","36,230","Lucien Van Impe","Seán Kelly","Laurent Fignon"
"1984 (71e)","Laurent Fignon","Renault-Gitane","23","4 021","35,882","Robert Millar","Frank Hoste","Greg LeMond"
"1985 (72e)","Bernard Hinault","La Vie claire","22","4 109","36,232","Luis Herrera","Seán Kelly","Fabio Parra"
"1986 (73e)","Greg LeMond","La Vie claire","23","4 094","37,020","Bernard Hinault","Eric Vanderaerden","Andrew Hampsten"
"1987 (74e)","Stephen Roche","Carrera","25","4 231","36,645","Luis Herrera","Jean-Paul van Poppel","Raúl Alcalá"
"1988 (75e)","Pedro Delgado","Reynolds","22","3 286","38,909","Steven Rooks","Eddy Planckaert","Erik Breukink"
"1989 (76e)","Greg LeMond","ADR","21","3 285","37,487","Gert-Jan Theunisse","Seán Kelly","Fabrice Philipot"
"1990 (77e)","Greg LeMond","Z","21","3 504","38,621","Thierry Claveyrolat","Olaf Ludwig","Gilles Delion"
"1991 (78e)","Miguel Indurain","Banesto","22","3 914","38,747","Claudio Chiappucci","Djamolidine Abdoujaparov","Álvaro Mejía"
"1992 (79e)","Miguel Indurain","Banesto","21","3 983","39,504","Claudio Chiappucci","Laurent Jalabert","Eddy Bouwmans"
"1993 (80e)","Miguel Indurain","Banesto","20","3 714","38,709","Tony Rominger","Djamolidine Abdoujaparov","Antonio Martín Velasco"
"1994 (81e)","Miguel Indurain","Banesto","21","3 978","38,383","Richard Virenque","Djamolidine Abdoujaparov","Marco Pantani"
"1995 (82e)","Miguel Indurain","Banesto","20","3 635","39,193","Richard Virenque","Laurent Jalabert","Marco Pantani"
"1996 (83e)","Bjarne Riis","Telekom","21","3 765","39,227","Richard Virenque","Erik Zabel","Jan Ullrich"
"1997 (84e)","Jan Ullrich","Telekom","21","3 950","39,237","Richard Virenque","Erik Zabel","Jan Ullrich"
"1998 (85e)","Marco Pantani","Mercatone Uno","21","3 875","39,983","Christophe Rinero","Erik Zabel","Jan Ullrich"
"1999 (86e)","non attribué[4],","","20","3 870","40,276","Richard Virenque","Erik Zabel","Benoît Salmon"
"2000 (87e)","non attribué[4],","","21","3 662","39,569","Santiago Botero","Erik Zabel","Francisco Mancebo"
"2001 (88e)","non attribué[4],","","20","3 458","40,070","Laurent Jalabert","Erik Zabel","Óscar Sevilla"
"2002 (89e)","non attribué[4],","","20","3 278","39,920","Laurent Jalabert","Robbie McEwen","Ivan Basso"
"2003 (90e)","non attribué[4],","","20","3 427","40,940","Richard Virenque","Baden Cooke","Denis Menchov"
"2004 (91e)","non attribué[4],","","20","3 391","40,553","Richard Virenque","Robbie McEwen","Vladimir Karpets"
"2005 (92e)","non attribué[4],","","21","3 593","41,654","Michael Rasmussen","Thor Hushovd","Yaroslav Popovych"
"2006 (93e)","Óscar Pereiro","Caisse d'Épargne","21","3 657,1","40,784","Michael Rasmussen","Robbie McEwen","Damiano Cunego"
"2007 (94e)","Alberto Contador","Discovery Channel","21","3 569,5","39,228","Mauricio Soler","Tom Boonen","Alberto Contador"
"2008 (95e)","Carlos Sastre","CSC-Saxo Bank","21","3 558,5","40,492","Carlos Sastre","Óscar Freire","Andy Schleck"
"2009 (96e)","Alberto Contador","Astana","21","3 459,5","40,315","Egoi Martínez","Thor Hushovd","Andy Schleck"
"2010 (97e)","Andy Schleck","Saxo Bank","21","3 642","39,594","Anthony Charteau","Alessandro Petacchi","Andy Schleck"
"2011 (98e)","Cadel Evans","BMC Racing","21","3 430","39,788","Samuel Sánchez","Mark Cavendish","Pierre Rolland"
"2012 (99e)","Bradley Wiggins","Sky","21","3 497","39,724","Thomas Voeckler","Peter Sagan","Tejay van Garderen"
"2013 (100e)","Christopher Froome","Sky","21","3 404","40,542","Nairo Quintana","Peter Sagan","Nairo Quintana"
"2014 (101e)","Vincenzo Nibali","Astana","21","3 660,5","40,452","Rafał Majka","Peter Sagan","Thibaut Pinot"
"2015 (102e)","Christopher Froome","Sky","21","3 582,7","39,567","Christopher Froome","Peter Sagan","Nairo Quintana"

